onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,63	4	40BB	1	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	1630	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,669	4	40BB	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6669	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,709	4	40BB	3	262	Dieser Mann ist echt hŸbsch.	2	11709	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
16,749	4	40BB	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16749	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,789	4	40BB	5	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	22789	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
27,823	4	40BB	6	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	27823	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
35,863	4	40BB	7	308	### ###### ### ########## ### ##########	3	35863	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,904	4	40BB	8	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	42904	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
50,949	4	40BB	9	113	Der vorbestrafte Mann war diesmal sauber.	1	50949	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
55,99	4	40BB	10	360	##### ###### ##### ##### ######### ### ###### #### #####	3	55990	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62,032	4	40BB	11	212	Das Thema des Matheunterrichts ist schwierig.	2	62032	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
67,064	4	40BB	12	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	67064	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
73,104	4	40BB	13	334	#### ########### ############## ###### ### ##### ####	3	73104	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
81,138	4	40BB	14	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	81138	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
86,179	4	40BB	15	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	86179	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
94,219	4	40BB	16	319	### ###### ####### ###### ##### ####### ########### ######	3	94219	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
105,259	6	40BB	17	401	Hast du eben Rautezeichen gesehen?	4	105259	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
114,306	4	40BB	18	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	114306	keine	0	keine	4,89	2,25	0,4	4,26	2,68	56	11	4,157895	0	0	0	0	1	2	0	0	1
122,352	4	40BB	19	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	122352	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
127,392	4	40BB	20	326	###### ####### ######### #### ### ################# ## #########	3	127392	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
132,432	4	40BB	21	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	132432	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
138,472	4	40BB	22	359	###### ### ###### #### ### ########## ### ####### #######	3	138472	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
144,506	4	40BB	23	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	144506	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
155,541	4	40BB	24	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	155541	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
161,582	4	40BB	25	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	161582	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
170,617	4	40BB	26	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	170617	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,652	4	40BB	27	330	####### ### ######## ######## ### ###########	3	180652	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,698	4	40BB	28	230	Endlich war Ruhe zwischen den Streitenden.	2	185698	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
190,738	6	40BB	29	402	Hat der Streit aufgehšrt?	4	190738	Ja	3774	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,767	4	40BB	30	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	202767	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
208,814	4	40BB	31	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	208814	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
213,848	4	40BB	32	362	###### #### ### #### ######	3	213848	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,888	4	40BB	33	305	### ### ##### #### ###### ############ ### ###### #####	3	219888	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,922	4	40BB	34	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	229922	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,969	4	40BB	35	222	Die Unternehmerin war immer in Eile.	2	238969	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
247,004	4	40BB	36	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	247004	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,044	4	40BB	37	108	Der Gesang des Opernstars ist kšstlich.	1	255044	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
261,085	4	40BB	38	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	261085	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
271,119	4	40BB	39	350	######## ########## ##### ############ #### ## ######	3	271119	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,166	4	40BB	40	310	### ############ ##### ### #### #### ######### #######	3	282166	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,207	6	40BB	41	403	Hast du gerade Rautenzeichen gesehen?	4	293207	Ja	3454	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,237	4	40BB	42	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	302237	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
311,283	6	40BB	43	404	Ist die Tante nett zu armen Menschen?	4	311283	Ja	2516	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,324	4	40BB	44	354	###### ######### ### ############ ### ####### ###### ###	3	318324	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,364	4	40BB	45	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	325364	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
335,41	4	40BB	46	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	335410	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
340,456	4	40BB	47	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	340456	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
350,496	4	40BB	48	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	350496	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
358,543	4	40BB	49	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	358543	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,583	4	40BB	50	260	Ursula wollte alles vergessen und reiste nach Japan.	2	365583	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
371,629	4	40BB	51	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	371629	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
378,663	6	40BB	52	405	Ging es gerade ums Lernen?	4	378663	Ja	1892	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
385,698	4	40BB	53	207	Der Flugbegleiter heute war wirklich attraktiv!	2	385698	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
390,738	4	40BB	54	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	390738	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
401,778	4	40BB	55	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	401778	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0

